ean,title,brand,price,productUrl,imageUrl,category
8710000000001,"Oral-B Precision Clean opzetborstels, 2 stuks",Oral-B,12.99,https://www.bol.com/nl/p/opzetborstel-1/9000000000/,https://images.bol.com/sample/opzetborstel-1.jpg,Mondverzorging
8710000000002,"Oral-B Precision Clean opzetborstels, 4 stuks",Oral-B,22.99,https://www.bol.com/nl/p/opzetborstel-2/9000000001/,https://images.bol.com/sample/opzetborstel-2.jpg,Mondverzorging
8710000000003,"Oral-B Precision Clean opzetborstels, 8 stuks",Oral-B,39.99,https://www.bol.com/nl/p/opzetborstel-3/9000000002/,https://images.bol.com/sample/opzetborstel-3.jpg,Mondverzorging
8710000000004,"Oral-B CrossAction opzetborstels, 2 stuks",Oral-B,13.49,https://www.bol.com/nl/p/opzetborstel-4/9000000003/,https://images.bol.com/sample/opzetborstel-4.jpg,Mondverzorging
8710000000005,"Oral-B CrossAction opzetborstels, 4-pack",Oral-B,23.99,https://www.bol.com/nl/p/opzetborstel-5/9000000004/,https://images.bol.com/sample/opzetborstel-5.jpg,Mondverzorging
8710000000006,"Oral-B CrossAction opzetborstels, 8-pack",Oral-B,41.99,https://www.bol.com/nl/p/opzetborstel-6/9000000005/,https://images.bol.com/sample/opzetborstel-6.jpg,Mondverzorging
8710000000007,"Oral-B CrossAction opzetborstels, 4 + 4",Oral-B,40.49,https://www.bol.com/nl/p/opzetborstel-7/9000000006/,https://images.bol.com/sample/opzetborstel-7.jpg,Mondverzorging
8710000000008,"Oral-B Sensitive opzetborstels, 2 stuks",Oral-B,11.99,https://www.bol.com/nl/p/opzetborstel-8/9000000007/,https://images.bol.com/sample/opzetborstel-8.jpg,Mondverzorging
8710000000009,"Oral-B Sensitive opzetborstels, 4 opzetborstels",Oral-B,20.99,https://www.bol.com/nl/p/opzetborstel-9/9000000008/,https://images.bol.com/sample/opzetborstel-9.jpg,Mondverzorging
8710000000010,"Oral-B Sensitive opzetborstels, set van 6",Oral-B,29.99,https://www.bol.com/nl/p/opzetborstel-10/9000000009/,https://images.bol.com/sample/opzetborstel-10.jpg,Mondverzorging
8710000000011,"Oral-B iO opzetborstels, 2 stuks",Oral-B,24.99,https://www.bol.com/nl/p/opzetborstel-11/9000000010/,https://images.bol.com/sample/opzetborstel-11.jpg,Mondverzorging
8710000000012,"Oral-B iO opzetborstels, 4 stuks",Oral-B,44.99,https://www.bol.com/nl/p/opzetborstel-12/9000000011/,https://images.bol.com/sample/opzetborstel-12.jpg,Mondverzorging
8710000000013,"Oral-B 3D White opzetborstels, 2 stuks",Oral-B,13.99,https://www.bol.com/nl/p/opzetborstel-13/9000000012/,https://images.bol.com/sample/opzetborstel-13.jpg,Mondverzorging
8710000000014,"Oral-B 3D White opzetborstels, (x8)",Oral-B,42.99,https://www.bol.com/nl/p/opzetborstel-14/9000000013/,https://images.bol.com/sample/opzetborstel-14.jpg,Mondverzorging
8710000000015,"Philips Sonicare ProResults opzetborstels, 2 stuks",Philips Sonicare,14.99,https://www.bol.com/nl/p/opzetborstel-15/9000000014/,https://images.bol.com/sample/opzetborstel-15.jpg,Mondverzorging
8710000000016,"Philips Sonicare ProResults opzetborstels, 4 stuks",Philips Sonicare,26.99,https://www.bol.com/nl/p/opzetborstel-16/9000000015/,https://images.bol.com/sample/opzetborstel-16.jpg,Mondverzorging
8710000000017,"Philips Sonicare ProResults opzetborstels, 8 stuks",Philips Sonicare,47.99,https://www.bol.com/nl/p/opzetborstel-17/9000000016/,https://images.bol.com/sample/opzetborstel-17.jpg,Mondverzorging
8710000000018,"Philips Sonicare DiamondClean opzetborstels, 2 stuks",Philips Sonicare,19.99,https://www.bol.com/nl/p/opzetborstel-18/9000000017/,https://images.bol.com/sample/opzetborstel-18.jpg,Mondverzorging
8710000000019,"Philips Sonicare DiamondClean opzetborstels, 4-pack",Philips Sonicare,35.99,https://www.bol.com/nl/p/opzetborstel-19/9000000018/,https://images.bol.com/sample/opzetborstel-19.jpg,Mondverzorging
