ean13,product_name,merk,price,deeplink,image_url
8710000000001,"Oral-B Precision Clean opzetborstels, 2 stuks",Oral-B,11.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-1-1,https://cdn.kruidvat.nl/sample/opzetborstel-1.jpg
8710000000003,"Oral-B Precision Clean opzetborstels, 8 stuks",Oral-B,40.99,https://www.kruidvat.nl/mondverzorging/opzetborstel-3-2,https://cdn.kruidvat.nl/sample/opzetborstel-3.jpg
8710000000005,"Oral-B CrossAction opzetborstels, 4-pack",Oral-B,23.99,https://www.kruidvat.nl/mondverzorging/opzetborstel-5-3,https://cdn.kruidvat.nl/sample/opzetborstel-5.jpg
8710000000006,"Oral-B CrossAction opzetborstels, 8-pack",Oral-B,41.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-6-4,https://cdn.kruidvat.nl/sample/opzetborstel-6.jpg
8710000000007,"Oral-B CrossAction opzetborstels, 4 + 4",Oral-B,39.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-7-5,https://cdn.kruidvat.nl/sample/opzetborstel-7.jpg
8710000000009,"Oral-B Sensitive opzetborstels, 4 opzetborstels",Oral-B,22.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-9-6,https://cdn.kruidvat.nl/sample/opzetborstel-9.jpg
8710000000011,"Oral-B iO opzetborstels, 2 stuks",Oral-B,25.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-11-7,https://cdn.kruidvat.nl/sample/opzetborstel-11.jpg
8710000000013,"Oral-B 3D White opzetborstels, 2 stuks",Oral-B,13.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-13-8,https://cdn.kruidvat.nl/sample/opzetborstel-13.jpg
8710000000015,"Philips Sonicare ProResults opzetborstels, 2 stuks",Philips Sonicare,13.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-15-9,https://cdn.kruidvat.nl/sample/opzetborstel-15.jpg
8710000000016,"Philips Sonicare ProResults opzetborstels, 4 stuks",Philips Sonicare,28.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-16-10,https://cdn.kruidvat.nl/sample/opzetborstel-16.jpg
8710000000017,"Philips Sonicare ProResults opzetborstels, 8 stuks",Philips Sonicare,48.99,https://www.kruidvat.nl/mondverzorging/opzetborstel-17-11,https://cdn.kruidvat.nl/sample/opzetborstel-17.jpg
8710000000019,"Philips Sonicare DiamondClean opzetborstels, 4-pack",Philips Sonicare,35.99,https://www.kruidvat.nl/mondverzorging/opzetborstel-19-12,https://cdn.kruidvat.nl/sample/opzetborstel-19.jpg
8710000000021,"Philips Sonicare C3 opzetborstels, 4 opzetborstels",Philips Sonicare,28.99,https://www.kruidvat.nl/mondverzorging/opzetborstel-21-13,https://cdn.kruidvat.nl/sample/opzetborstel-21.jpg
8710000000023,"Philips Sonicare C2 opzetborstels, set van 6",Philips Sonicare,41.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-23-14,https://cdn.kruidvat.nl/sample/opzetborstel-23.jpg
8710000000025,"Philips Sonicare G3 opzetborstels, 2 stuks",Philips Sonicare,18.99,https://www.kruidvat.nl/mondverzorging/opzetborstel-25-15,https://cdn.kruidvat.nl/sample/opzetborstel-25.jpg
8710000000026,"Jordan Clean Slim opzetborstels, 2 stuks",Jordan,7.99,https://www.kruidvat.nl/mondverzorging/opzetborstel-26-16,https://cdn.kruidvat.nl/sample/opzetborstel-26.jpg
8710000000027,"Jordan Clean Slim opzetborstels, 4 stuks",Jordan,13.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-27-17,https://cdn.kruidvat.nl/sample/opzetborstel-27.jpg
8710000000029,"Jordan Target Sensitive opzetborstels, 4 stuks",Jordan,13.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-29-18,https://cdn.kruidvat.nl/sample/opzetborstel-29.jpg
8710000000031,"Oral-B Precision Clean opzetborstels, set van 6",Oral-B,33.99,https://www.kruidvat.nl/mondverzorging/opzetborstel-31-19,https://cdn.kruidvat.nl/sample/opzetborstel-31.jpg
8710000000033,"Oral-B Sensitive opzetborstels, 8-pack",Oral-B,38.99,https://www.kruidvat.nl/mondverzorging/opzetborstel-33-20,https://cdn.kruidvat.nl/sample/opzetborstel-33.jpg
8710000000035,"Oral-B 3D White opzetborstels, 4 stuks",Oral-B,23.99,https://www.kruidvat.nl/mondverzorging/opzetborstel-35-21,https://cdn.kruidvat.nl/sample/opzetborstel-35.jpg
8710000000036,"Oral-B 3D White opzetborstels, set van 6",Oral-B,32.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-36-22,https://cdn.kruidvat.nl/sample/opzetborstel-36.jpg
8710000000037,"Philips Sonicare ProResults opzetborstels, set van 6",Philips Sonicare,38.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-37-23,https://cdn.kruidvat.nl/sample/opzetborstel-37.jpg
8710000000039,"Philips Sonicare DiamondClean opzetborstels, (x8)",Philips Sonicare,68.99,https://www.kruidvat.nl/mondverzorging/opzetborstel-39-24,https://cdn.kruidvat.nl/sample/opzetborstel-39.jpg
8710000000041,"Philips Sonicare C2 opzetborstels, 4 stuks",Philips Sonicare,27.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-41-25,https://cdn.kruidvat.nl/sample/opzetborstel-41.jpg
8710000000043,"Philips Sonicare G3 opzetborstels, 4-pack",Philips Sonicare,32.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-43-26,https://cdn.kruidvat.nl/sample/opzetborstel-43.jpg
8710000000045,"Philips Sonicare InterCare opzetborstels, 4 stuks",Philips Sonicare,29.99,https://www.kruidvat.nl/mondverzorging/opzetborstel-45-27,https://cdn.kruidvat.nl/sample/opzetborstel-45.jpg
8710000000046,"Opzetborstels geschikt voor Oral-B, 8 stuks",Compatible,15.49,https://www.kruidvat.nl/mondverzorging/opzetborstel-46-28,https://cdn.kruidvat.nl/sample/opzetborstel-46.jpg
8710000000047,"Opzetborstels vervangende opzetborstels Oral-B CrossAction, 4-pack",Compatible,9.99,https://www.kruidvat.nl/mondverzorging/opzetborstel-47-29,https://cdn.kruidvat.nl/sample/opzetborstel-47.jpg
8710000000049,"Opzetborstels universeel compatible opzetborstels, 8 stuks",Compatible,11.99,https://www.kruidvat.nl/mondverzorging/opzetborstel-49-30,https://cdn.kruidvat.nl/sample/opzetborstel-49.jpg
